iter	Passed	Remaining
0	63	63803
1	70	35099
2	76	25359
3	82	20420
4	87	17377
5	93	15420
6	98	13994
7	104	12926
8	109	12106
9	115	11385
10	120	10846
11	126	10409
12	132	10025
13	137	9674
14	142	9381
15	148	9142
16	154	8927
17	160	8735
18	164	8503
19	170	8350
20	176	8208
21	181	8062
22	187	7967
23	193	7851
24	199	7770
25	205	7689
26	211	7614
27	217	7566
28	222	7464
29	228	7390
30	234	7328
31	240	7271
32	245	7203
33	251	7131
34	257	7086
35	262	7030
36	268	6984
37	273	6928
38	279	6889
39	285	6845
40	290	6797
41	296	6762
42	302	6724
43	307	6682
44	313	6644
45	318	6611
46	324	6574
47	330	6551
48	336	6521
49	341	6480
50	346	6445
51	352	6420
52	357	6395
53	363	6363
54	368	6333
55	377	6367
56	383	6349
57	389	6326
58	395	6302
59	401	6284
60	406	6262
61	417	6312
62	422	6279
63	427	6257
64	433	6238
65	438	6206
66	443	6179
67	448	6153
68	474	6400
69	485	6451
70	490	6416
71	495	6387
72	501	6369
73	508	6359
74	514	6350
75	521	6343
76	530	6355
77	538	6360
78	545	6356
79	552	6359
80	563	6388
81	569	6380
82	576	6367
83	583	6357
84	589	6340
85	595	6331
86	601	6317
87	609	6311
88	615	6301
89	621	6284
90	628	6273
91	634	6261
92	641	6254
93	648	6246
94	653	6228
95	660	6221
96	666	6206
97	673	6195
98	679	6179
99	685	6168
100	691	6159
101	698	6146
102	705	6145
103	711	6132
104	718	6121
105	725	6122
106	733	6121
107	741	6120
108	748	6121
109	755	6114
110	763	6111
111	769	6098
112	774	6083
113	780	6067
114	785	6048
115	791	6032
116	798	6026
117	806	6025
118	811	6010
119	817	5998
120	823	5982
121	829	5970
122	835	5954
123	840	5938
124	845	5919
125	851	5907
126	857	5895
127	863	5882
128	870	5875
129	875	5861
130	881	5847
131	886	5830
132	892	5818
133	897	5803
134	904	5793
135	910	5784
136	916	5771
137	921	5755
138	926	5741
139	932	5725
140	937	5713
141	943	5701
142	948	5684
143	954	5671
144	960	5662
145	966	5650
146	971	5636
147	976	5623
148	982	5609
149	987	5598
150	994	5592
151	1000	5580
152	1005	5565
153	1010	5552
154	1016	5541
155	1022	5531
156	1028	5521
157	1033	5509
158	1039	5495
159	1044	5482
160	1049	5469
161	1055	5458
162	1060	5446
163	1065	5433
164	1070	5419
165	1075	5404
166	1081	5392
167	1087	5384
168	1092	5373
169	1097	5360
170	1103	5349
171	1108	5338
172	1115	5332
173	1121	5324
174	1127	5316
175	1133	5306
176	1139	5299
177	1145	5289
178	1150	5277
179	1156	5267
180	1162	5258
181	1166	5244
182	1172	5233
183	1177	5223
184	1183	5212
185	1188	5202
186	1194	5192
187	1199	5179
188	1205	5172
189	1211	5166
190	1217	5157
191	1223	5149
192	1229	5141
193	1234	5130
194	1240	5121
195	1246	5113
196	1251	5102
197	1256	5091
198	1262	5081
199	1267	5071
200	1273	5063
201	1279	5056
202	1285	5045
203	1290	5034
204	1295	5024
205	1301	5015
206	1306	5005
207	1311	4995
208	1317	4985
